------------------------------------------------------------------------------
                      SDDP.jl (c) Oscar Dowson, 2017-21

Problem
  Nodes           : 60
  State variables : 4
  Scenarios       : 8.22275e+112
  Existing cuts   : false
  Subproblem structure                      : (min, max)
    Variables                               : (157, 157)
    VariableRef in MOI.LessThan{Float64}    : (144, 145)
    VariableRef in MOI.GreaterThan{Float64} : (149, 149)
    AffExpr in MOI.EqualTo{Float64}         : (9, 9)
Options
  Solver          : serial mode
  Risk measure    : SDDP.Expectation()
  Sampling scheme : SDDP.InSampleMonteCarlo

Numerical stability report
  Non-zero Matrix range     [1e+00, 1e+00]
  Non-zero Objective range  [4e-06, 1e+00]
  Non-zero Bounds range     [7e-01, 2e+05]
  Non-zero RHS range        [7e+03, 5e+04]
WARNING: numerical stability issues detected
  - Objective range contains small coefficients
Very large or small absolute values of coefficients
can cause numerical stability issues. Consider
reformulating the model.

 Iteration    Simulation       Bound         Time (s)    Proc. ID   # Solves
      104    6.697065e+04   5.595504e+04   1.578455e+02          1     509496
      105    5.919962e+04   5.598729e+04   1.593704e+02          1     514395
      106    5.774830e+04   5.599325e+04   1.609531e+02          1     519294
      107    7.941013e+04   5.599742e+04   1.625180e+02          1     524193
      108    4.170219e+04   5.606497e+04   1.640504e+02          1     529092
      109    5.603635e+04   5.607380e+04   1.656323e+02          1     533991
      110    5.922293e+04   5.607400e+04   1.672023e+02          1     538890
      111    3.987777e+04   5.607425e+04   1.687585e+02          1     543789
      112    4.505423e+04   5.607835e+04   1.702736e+02          1     548688
      113    5.993987e+04   5.608036e+04   1.718409e+02          1     553587
      114    5.543499e+04   5.608690e+04   1.734170e+02          1     558486
      115    5.326468e+04   5.608752e+04   1.749574e+02          1     563385
      116    6.813924e+04   5.609756e+04   1.765324e+02          1     568284
      117    5.028683e+04   5.609917e+04   1.781008e+02          1     573183
      118    5.731942e+04   5.610256e+04   1.796984e+02          1     578082
      119    5.471771e+04   5.610584e+04   1.812363e+02          1     582981
      120    4.957311e+04   5.613807e+04   1.828137e+02          1     587880
      121    3.768610e+04   5.614346e+04   1.843805e+02          1     592779
      122    6.113745e+04   5.617223e+04   1.859104e+02          1     597678
      123    8.928931e+04   5.617977e+04   1.874930e+02          1     602577
      124    5.988563e+04   5.618384e+04   1.890679e+02          1     607476
      125    4.803494e+04   5.618675e+04   1.906449e+02          1     612375
      126    7.578304e+04   5.618783e+04   1.922086e+02          1     617274
      127    6.629636e+04   5.618899e+04   1.937888e+02          1     622173
      128    5.063421e+04   5.620259e+04   1.953822e+02          1     627072
      129    3.650785e+04   5.621730e+04   1.969100e+02          1     631971
      130    8.599999e+04   5.621874e+04   1.984867e+02          1     636870
      131    6.619032e+04   5.636350e+04   2.000625e+02          1     641769
      132    3.865673e+04   5.636458e+04   2.016034e+02          1     646668
      133    5.280246e+04   5.636460e+04   2.031803e+02          1     651567
      134    5.421746e+04   5.636464e+04   2.047651e+02          1     656466
